3,241990094955872266,mxmmix,105,Fitness Major,21.05.2021,"Started dancing in VRChat in November 2020 and quickly became addicted, found the VRDancing community and purchased FBT. I'm from the Netherlands and currently study Computer Science with an interest in VR, robotics and gamedev. I develop the VRDancing world together with Chatmans. Mainly, all the programming, UI and the database back-end. Feel free to ping me during the evenings when you feel like dancing and I might join! I'm transgender and use she/her pronouns :)"
35,813771862969417768,Alryca,100,Fitness Major,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
54,469085349705154570,Stiik,100,Fitness Major,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
48,241476877112442881,TinyShy,95,Fitness Major,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
45,92439575288352768,FatalZodiac,90,Fitness Major,22.05.2021,KINJAZ!?!?!?
63,270272083219578881,icemaniak,85,Fitness Major,28.05.2021,Hi! I'm Icemaniak. A guy with a passion for dancing from the Netherlands. I've been dancing for 12 years now and I hope to add a few more before my body breaks of old age lmao. Beepboop I'm out
26,177267412079476746,The Demon On Welfare,85,Fitness Major,22.05.2021,I am: me 💯 🔞 🚀👌 💯 
11,104977869205155840,Kanami,85,Fitness Major,22.05.2021,The guy that stained the dancefloor
33,353157178187710465,Resistless,85,Fitness Major,22.05.2021,The opposite of Resistful
38,157956957628530688,nyarip,70,Fitness Rookie,22.05.2021,I have 15600 hours on ffxiv and I can still deadlift both ur parents
43,473404689891721226,revylee,70,Fitness Rookie,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
4,723217987774971975,~Silentt~,70,Fitness Rookie,21.05.2021,I try to be a expressive dancer. More often derping about then anything tho.
6,690196348833759289,RaeStar24,65,Fitness Rookie,21.05.2021," I guess you would call me Silvan's waifu or the first lady of this cult, its nice to meet you! Lets move our bodies and have fun!"
61,439642739798310912,blizzflare,65,Fitness Rookie,27.05.2021,Your awesome custom description. (Change me with '$setdesc')
31,283345537116143626,bp326,60,Fitness Rookie,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
62,220604247438393344,Cinte,60,Fitness Rookie,28.05.2021,aAAa
51,453580398165884941,captaincat,55,Fitness Rookie,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
78,259993071922446337,gizmo888,55,Fitness Rookie,05.06.2021,Your awesome custom description. (Change me with '$setdesc')
22,306496335345876992,Maunovaa,50,Fitness Rookie,22.05.2021,! I can't dance so i just wiggle to the music!
46,212234798079410177,medlish,50,Fitness Rookie,22.05.2021,"I totally do all these crazy moves with my legs, I just don't have the trackers yet"
65,163860924417966080,Chocobò,50,Fitness Rookie,30.05.2021,"Hi, I kidnap people."
57,163685930891345921,Hell․,45,Fitness Rookie,23.05.2021,Your awesome custom description. (Change me with '$setdesc')
73,321775427259596800,beniwolf,45,Fitness Rookie,30.05.2021,Your awesome custom description. (Change me with '$setdesc')
84,208558614078554112,Rin boy,45,Fitness Rookie,06.06.2021,Your awesome custom description. (Change me with '$setdesc')
109,197893826231271424,clearrainbow,45,Fitness Rookie,19.06.2021,Your awesome custom description. (Change me with '$setdesc')
104,472916433303633920,めぐみネコ,45,Fitness Rookie,19.06.2021,Your awesome custom description. (Change me with '$setdesc')
56,249821130637049858,GummiSammi,40,Fitness Rookie,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
83,422032098925477889,Laiskiainen,35,Fitness Cadet,06.06.2021,Your awesome custom description. (Change me with '$setdesc')
40,271024593391714316,TheeSpankEngine,30,Fitness Cadet,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
15,637719829863989274,KingKalliath,30,Fitness Cadet,22.05.2021,Just ask if you want to know something <3
79,306140479320227840,Demi Fox,30,Fitness Cadet,05.06.2021,Your awesome custom description. (Change me with '$setdesc')
76,130686104864161792,Noa15Lv,30,Fitness Cadet,31.05.2021,Your awesome custom description. (Change me with '$setdesc')
92,173591343371780096,TheNero,30,Fitness Cadet,12.06.2021,haha funny bird
93,250486315160829952,Clockwork Angel,30,Fitness Cadet,12.06.2021,"“Don’t walk behind me, I may not lead.
Don’t walk in front of me, I may not follow.
Just walk beside me and be my friend.” -Albert Camus"
116,445513490493341697,Jaceyhd f752,30,Fitness Cadet,26.06.2021,Your awesome custom description. (Change me with '$setdesc')
75,135691742937612288,Ayeton,30,Fitness Cadet,31.05.2021,Your awesome custom description. (Change me with '$setdesc')
106,207833772211699714,Conniptions,25,Fitness Cadet,19.06.2021,Your awesome custom description. (Change me with '$setdesc')
69,156424008202452992,kropsla,20,Fitness Cadet,30.05.2021,"Hi, I am Raoul! I am a casual VR dancer that is also very much into Beat Saber and rhythm games of the likes. Besides being in VR, you can find me programming, bouldering, inline skating or being hungover. I aspire to speak to as many sweet Fitness Marshall enthousiasts as I can ❤️"
34,334745823701368832,Airstride#7689,20,Fitness Cadet,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
10,188804379845853184,Zargorth,20,Fitness Cadet,22.05.2021,"I am 22 and am currently studying games development at university. I enjoy a large variety of games, anime and other shows and types of media. 
Nanachi is Best Nanachi is Life"
59,812347004352200724,Evelyno',20,Fitness Cadet,25.05.2021,Your awesome custom description. (Change me with '$setdesc')
49,110147170740494336,cakə,20,Fitness Cadet,22.05.2021,literal garbage with an icing exterior
52,230005929817538561,Project_nep#1477,20,Fitness Cadet,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
64,238918198919954432,Yinagi,20,Fitness Cadet,30.05.2021,Your awesome custom description. (Change me with '$setdesc')
74,332887282547687444,Akirathefrog#3058,20,Fitness Cadet,30.05.2021,Your awesome custom description. (Change me with '$setdesc')
55,700155609693290576,Olivier#8941,20,Fitness Cadet,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
86,271987785471229952,KaKi_HolyMoly#1105,20,Fitness Cadet,09.06.2021,Your awesome custom description. (Change me with '$setdesc')
81,739251688145289368,Kuuderekitten,20,Fitness Cadet,06.06.2021,Your awesome custom description. (Change me with '$setdesc')
95,213814690101329920,♛Maro♛,20,Fitness Cadet,12.06.2021,Your awesome custom description. (Change me with '$setdesc')
90,259054010030489601,Mavor,20,Fitness Cadet,12.06.2021,Your awesome custom description. (Change me with '$setdesc')
99,700113485744570369,Andyostr,20,Fitness Cadet,14.06.2021,Your awesome custom description. (Change me with '$setdesc')
67,114100988427763714,therunningruski,20,Fitness Cadet,30.05.2021,Your awesome custom description. (Change me with '$setdesc')
98,305765269756706818,mathqueen23,20,Fitness Cadet,14.06.2021,Your awesome custom description. (Change me with '$setdesc')
16,166546576301359104,MiniGreen417,20,Fitness Cadet,22.05.2021,The Turnip Head
111,140197385505603585,Remonite（レモナイト）,20,Fitness Cadet,19.06.2021,Your awesome custom description. (Change me with '$setdesc')
91,345706926455259138,Mayodenayo,20,Fitness Cadet,12.06.2021,Your awesome custom description. (Change me with '$setdesc')
117,282621039878471682,ITheShaxI,15,Fitness Cadet,26.06.2021,Your awesome custom description. (Change me with '$setdesc')
120,801668735214551070,MinzLeaf,15,Fitness Cadet,26.06.2021,Your awesome custom description. (Change me with '$setdesc')
119,252022895155347467,MrMoGumba,15,Fitness Cadet,26.06.2021,Your awesome custom description. (Change me with '$setdesc')
37,267947247818375168,Pika#8270,10,Fitness Cadet,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
47,360500035873406989,Shaluna#7080,10,Fitness Cadet,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
50,387366580855767040,HolowVictory#5535,10,Fitness Cadet,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
53,202882373036015630,TheStrito#0909,10,Fitness Cadet,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
41,201969367083122688,deiffol,10,Fitness Cadet,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
66,225255429410783233,Zero-Kai#2510,10,Fitness Cadet,30.05.2021,Your awesome custom description. (Change me with '$setdesc')
68,133765798408880128,Mana Moon#5008,10,Fitness Cadet,30.05.2021,Your awesome custom description. (Change me with '$setdesc')
70,730963778514190439,nope_nope0,10,Fitness Cadet,30.05.2021,Your awesome custom description. (Change me with '$setdesc')
71,315639448979111936,Starpo#4445,10,Fitness Cadet,30.05.2021,Your awesome custom description. (Change me with '$setdesc')
72,390326170056523788,Kevin_ulti#0883,10,Fitness Cadet,30.05.2021,Your awesome custom description. (Change me with '$setdesc')
82,642108178284412928,MikoTheFox#7883,10,Fitness Cadet,06.06.2021,Your awesome custom description. (Change me with '$setdesc')
88,659129849285181440,Hani#4922,10,Fitness Cadet,12.06.2021,Your awesome custom description. (Change me with '$setdesc')
89,327939763778879488,Tuntt,10,Fitness Cadet,12.06.2021,Your awesome custom description. (Change me with '$setdesc')
94,403342004211154944,Yukii Shute#0311,10,Fitness Cadet,12.06.2021,Your awesome custom description. (Change me with '$setdesc')
105,151763858778750978,Pendual',10,Fitness Cadet,19.06.2021,Your awesome custom description. (Change me with '$setdesc')
107,170205995941888000,Nayu~',10,Fitness Cadet,19.06.2021,Your awesome custom description. (Change me with '$setdesc')
108,240559887074066432,BBOSensei 0dce,10,Fitness Cadet,19.06.2021,Your awesome custom description. (Change me with '$setdesc')
77,621028210213257236,❤️Panda❤️,10,Fitness Cadet,02.06.2021,Your awesome custom description. (Change me with '$setdesc')
110,155690667350163457,｛Panda,10,Fitness Cadet,19.06.2021,Your awesome custom description. (Change me with '$setdesc')
112,94485004641382400,a reb,10,Fitness Cadet,19.06.2021,Your awesome custom description. (Change me with '$setdesc')
113,108414638323929088,大神／オオガミ（kero）,10,Fitness Cadet,20.06.2021,Your awesome custom description. (Change me with '$setdesc')
97,128227907293151232,Raindropss,10,Fitness Cadet,14.06.2021,Hi!~~
118,313317856227885057,Beastcurry,10,Fitness Cadet,26.06.2021,Your awesome custom description. (Change me with '$setdesc')
121,404692898496643075,Lizzyy00,10,Fitness Cadet,26.06.2021,Your awesome custom description. (Change me with '$setdesc')
123,409998932853129216,konata#3131,10,Fitness Cadet,27.06.2021,Your awesome custom description. (Change me with '$setdesc')
124,143407383236837386,SonicKitsune,10,Fitness Cadet,27.06.2021,I'm some guy/robot/something. Somehow I'm also into dancing.
100,266027494463897624,Juno#9594,10,Fitness Cadet,14.06.2021,Your awesome custom description. (Change me with '$setdesc')
8,201625791044386817,Burgerbeast,0,Fitness Newcomer,22.05.2021,Did someone say burgers?
12,108162440658706432,spokeek#5623,0,Fitness Newcomer,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
14,467667173733826582,Shuta Shute#1100,0,Fitness Newcomer,22.05.2021,nutt
19,719327982493106258,Coasterman98,0,Fitness Newcomer,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
20,246713306176421889,KarolPlayer,0,Fitness Newcomer,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
21,158878536873017344,SpleT,0,Fitness Newcomer,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
25,160225361001447424,kawffi,0,Fitness Newcomer,22.05.2021,Sleepy VR photographer that wants to get into dancing and drawing. Mute.
27,318072796448161803,-LAMIA-,0,Fitness Newcomer,22.05.2021,I'm like a credit card because I'm always being used or denied․
28,235739619742842890,Dallezz,0,Fitness Newcomer,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
29,262713138753830913,Phoenix602,0,Fitness Newcomer,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
39,237016550027165697,Dragon_King,0,Fitness Newcomer,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
42,526694934212771840,Delicious Deli#9550,0,Fitness Newcomer,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
44,110276495825461248,Natsumi-sama,0,Fitness Newcomer,22.05.2021,Your awesome custom description. (Change me with '$setdesc')
80,104391468793217024,GlueIsRequired#5243,0,Fitness Newcomer,05.06.2021,Your awesome custom description. (Change me with '$setdesc')
85,206466673320919040,jayd!#0001,0,Fitness Newcomer,08.06.2021,hello!! em0catboy in vrc! !! dumb dancing femboy <3
87,119377523409813504,LightShade#3876,0,Fitness Newcomer,11.06.2021,Your awesome custom description. (Change me with '$setdesc')
96,243005076795293696,ZukiVR,0,Fitness Newcomer,13.06.2021,Your awesome custom description. (Change me with '$setdesc')
101,162711463088095232,Towneh#0001,0,Fitness Newcomer,15.06.2021,Your awesome custom description. (Change me with '$setdesc')
102,190167210872799233,TBG_VR,0,Fitness Newcomer,18.06.2021,Your awesome custom description. (Change me with '$setdesc')
103,97021353672077312,Cinccino,0,Fitness Newcomer,19.06.2021,Your awesome custom description. (Change me with '$setdesc')
114,151038791140900865,Poppy.,0,Fitness Newcomer,20.06.2021,Your awesome custom description. (Change me with '$setdesc')
115,360478924519768078,BigSquishiePillows,0,Fitness Newcomer,22.06.2021,Just a lazy pillow trying to get some exercise to be less lazy!
122,103575904080388096,vivikyu#0127,0,Fitness Newcomer,27.06.2021,Your awesome custom description. (Change me with '$setdesc')
125,122485246905155584,Patroll#3959,0,Fitness Newcomer,28.06.2021,Your awesome custom description. (Change me with '$setdesc')
